Participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,Risky,Important ,Profit,Hopeful,,,Problem,Cautious,Risky,Problematic,Cautious,Silly,Silly,Stupid,Risky,Unpredictable ,Silly,Dangerous,Stupid,Addiction ,Idiotic,Addiction,Careless,Divorced ,Stupid,Addiction,Divorced ,Risky,Risky,Stupid,Silly,Dangerous,Scary,Dangerous,Risky,Stupid,Sneaky,Stupid,Illegal,Caught,Cautious,Problematic ,Stupid,Morally wrong ,Wrong,Bad,Risky,Problem,Sneaky,Sly,Stupid,Silly,Stupid,Illegal,Silly,Prison,Exhilarating ,Illegal,Scary,Stupid,Risky,Dangerous,Problematic,Careful,Risky,Illegal,Police,Cautious,Drunk,Stupid,Dangerous,Happy,Stupid,Silly ,Cautious,Risky ,Stupid,Death wish ,Suicidal ,Silly,Risky,Stupid,Unprotected ,Cautious,,Stupid,Idiotic,Wild ,Cautious,Stupid,Risky,Unpredictable,Heart attack,Cholesterol,Fat,Unhealthy,Risky,Wild,Scary,Uncomfortable,Stupid,Suicidal,Death wish,Obsessed ,Unpredictable ,Unplanned ,Stupid,Silly,Risky,Cautious,Exhilarating ,Problem,Dangerous,Scary,Stupid,Suicidal ,Engaging,Sporty ,Risky ,Exhilarating ,Fun,Exciting,Exhilarating ,Cautious,Exciting,Thrilling,Cautious,Breath taking ,Not a problem,Okay,Predictable ,Casual,Argument ,Problem,Fight,Shouting,Not a problem,Careful ,Cautious ,Empathetic ,Risky,Brave,Courageous ,Silly,Stupid,Truthful,Dangerous,Careful,Neutral,Not risky,Slutty,Attention seeking ,Risky,Happy,Fun,Fulfilling ,Risky,Problematic,Cautious,Empathetic
P12,income,money,gain,hopeful,money,risk,gain,lose,debatable ,risk,money,gain,money,gain,loss,investment,unlucky,gambling,men,lose,dangerous,men,lose,cocktails,hopeful,lose,money,unhappy,vagas,holiday,boys,films,fail,bad,unprepared,stupid,pointless,greedy,money,selfish,cheeting,un-loyal,old,cheeky,Sports,parents,form,copying,cheeting ,pointless,un-original,bad,music,film,word,laptop,young,desperate,wrong,silly,shops,pointless,accident,wrong,party,night,high,expensive,party,fun,club,social,STI,baby,unsafe,risky,accident,death,comfy,crash,accident,death,crash,injury,cancer,burn,moles,red,rape,dark,men,scary,mcdonalds,chips,heart,fat,exciting,countryside,nature,peaceful ,news,adrenaline,silly,dangerous,adventure,holiday,memories,friends,accident,fun,future,holiday,fun,exciting,thrilling,dangerous,EXCITING,fun,thrilling,healthy,fun,exciting,scary,holiday,air,sky,holiday,fun,strong,independent,unique,opinionated,conversation,interesting,opinions,knowledge,debate,interesting,intellectual,opinion,greedy,pointless,scared,hierarchy,honest,friend,understanding,supportive,club,hot,party,girls,satisfied,happy,life,enjoyment ,individual,strong,argument,persuasion 
P13,Stability,Contribute,Work,Sustain,Future,Belief,Willing,Waste,Thinking,Wise,Safe,Ownership,Leap,Fortune,Luck,Wasting,Bored,Irresponsible,Work,Loss,Mistake,Cards,Invest,Risk,Faith,Confidence,Broker,Loss,Desperate,Greed,Broke,Money,Attempt,Dishonest,Laziness,Sneaky,Law,Arrested,Finance,System,Infidelity,Unfaithful,Turmoil,Crisis,Forgery,Faking,Stolen,Identity,Credit,Praise,Dishonest,Selfish,Computer,Faster,Free,Piracy,Child,Misbehave,Rebelious,Learning,Advantage,Unlawful,Taking,Stealing,Addiction,Recreational,Smoke,Inject,Alcoholism,Poisoning,Intoxication,Inhibriated,Condom,Pregnancy,STIs,Intercourse,Crash,Collide,Injury,Airbag,Skull,Cracking,Free,Careless,Cancer,Burn,Red,Beach,Fear,Dark,Knife,Crime,Lifestyle,Lifetime,Delicious,Malnutrition,Unkept,Predators,Attack,Darkness,Photography,Beauty,Debris,Impact,Crime,Disease,Stranded,Manipulated,Broken,Pain,Speed,Ambulance,Adrenaline,Enjoyable,Sporty,Active,Panic,Fun,Limits,Training,Safe,Harness,Professionals,Experience,Crash,Unsupervised,Disaster,Altitude,Belief,Intrinsic,Individual,Differences,Separate,Generation,Dividing,Individualistic,Bicker,Resolved,Opinionated,Personal,Contribution,Fair,Fired,Discipline,Unfaithful,Jealousy,Pleading,Betrayal,Choice,Personal,Identity,Expression,Passion,Minimum,Regret,Fun,Opinion,Addressing,Necessary,Ignorance
P14,risky,gambling,opportunity,money,risky,daring,opportunity,gambling,risky,money,return,bank,risky,money,bank,tax,risky,foolish,gambling,opportunity,risky,gambling,dice,chips,gambling,game,opportunity,risky,betting,risky,foolish,loss,wrong,copying,lying,desperate,wrong,lying,stealing,fraud,wrong,betrayal,secret,cheating,wrong,lying,cheating,stealing,plagiarism,cheating,wrong,copying,theft,virus,wrong,foolish,wrong,sneaky,risky,stupid,theft,wrong,lying,foolish,high,dangerous,risky,intoxication,drunk,inebriation,foolish,risky,STI,pregnancy,risky,stupid,risky,stupid,dangerous,crash,stupid,dangerous,wind,accident,cancer,sunburn,melanoma,skin,dangerous,mugging,stabbing,gang,unhealthy,fat,diabetes,risky,cold,mud,flies,wild,foolish,dangerous,exhilarating,risky,malaria,illness,dirty,unsafe,dangerous,accident,injury,risky,rocks,dangerous,fun,foolish,risky,brave,exciting,outdoors,exciting,daring,brave,falling,fun,brave,risky,exciting,independent,confident,strong,belief,independence ,confident,grounded,adult,confident,independant,brave,belief,daring,confident,brave,risky,cheater,betrayal,wrong,loyalty,skirt,short,feminism,independence,brave,daring,confident,admirable,independence,strong,confident,brave
P15,money,trust,work ,job,job ,money,pounds,luck,money,pounds,job,luck,money,trust,work,job,gambling,animals,fast,money,luck,gambling,oponent,winning,luck,odds,money,poor,money,betting,luck,odds,lie,truth,fake,work,lie,fake,work,job,lies,sex,love,wrong,fake,unique,identity,pen,fake,lie,incapable,effort,lie ,fake,steal,computor,wrong,stealing,lies,caught,moral,wrong,lie,fake,wrong,laws,dangerous,illness,danger,drunk,sober,party,child,STI,Pregnant,love,death,danger,crash,car,danger,death,crash,luck,burn,tan,heat,pain,scary,danger,strangers,lonely,fat,overweight,health,eating,animals,food,tent,exposed,camera,death,crash,accident,planning,experience,culture,book,danger,injury,falling,stupid,fast,fun,friends,wet,scary,injury,fun,thrill,falling,fun,scary,high,flying,air,clouds,sky,truth,food,social,agreement,family,arguing,talking,shouting,shouting,disagreeing,talking,friendship,luck,agreement,money,job,flirt,wrong,lie,truth,different,controversial ,outfit,perception,fun,sensible,money,work,aruging,talking,discussing,friends
P16,Investment,Money,Saving,Interest,,,,,,,,,Safe,Save,Money,Bank,Stupid,Waste,Money,Ascot,Waste,Risky,Gambling,Betting,Horses,Racing,Gambling,Waste,,,,,,,,,Liar,Clever,Save,Dodge,,,,,,,,,,,,,,,,,,,,,,,,,Normal,Smoke,Weed,High,Average,Binge,Tipsy,Vodka,Better,Diseases,Pregnancy,Bed,Risky,Death,Crash,Damage,Idiotic,Death,Crash,Ambulance,,,,,Aware,Nervous,Careful,Vigilant,,,,,Bear,Moose,Rescue,Lost,Unreal,Insane,Windy,Cows,,,,,Stupid,Naive,Dangerous,Hospital,Drown,Deep,Current,Strong,Exercise,Injury,Fall,Exhilarating ,Exciting,Nervous,Heights,Adrenaline,,,,,Honest,Truthful,Proud,Unique,,,,,,,,,Polite,Try,Work,Money,,,,,,,,,,,,,,,,
P17,dangerous,risky,loss,debt,risky,loss,debt,money,risky,money,loss,cost,dangerous,risky,loss,debt,risk,loss ,money,cost,risky,loss,money,cost,risky,money,loss,win,money ,risk ,cost,loss,risky,liar,wrong,bad,liar,naughty,risky,dangerous,risk,homewreck,caught,upset,dangerous,caught,illegal,risky,cheat,naughty,liar,wrong,wrong,dangerous,caught,risky,dangerous,caught,prison,worthless,naughty,cheat,cheap,wrong,dangerous,stupid,trip,unconscious,drunk,hangover,embarrassing,control,dangerous,STI,pregnant,risky,death,crash,blood,unsafe,risky,injury,death,bang,burn,stupid,painful,red,dangerous,stranger,approached,rape,unhealthy,problems,bad,internal,animals,dangerous,water,fire,swept,unsafe,away,bad,unorganised,dangerous,homeless,rough,dangerous,fast,control,silly,unsafe,dangerous,injury,drown,danger,fall,injury,unsafe,unsafe,dangerous,risk,fun,dangerous,crash ,down,risky,conflict,row,loss,upset,argument,upset,anger,conflict,argument,upset,row,loss,risky,argument,loss,relationship,risky,fight,upset,row,wrong,judgement ,crowd,looks,happiness ,enjoyment,good,beneficial,argument,upset,row,unhappy
P18,earning,money,scheme,expensive,money ,loss,fianances,buisness,gain,business,earnings,money,money,entrepreneur,loss,gain,bad,loss,wrong,expensive,wrong,bad,expensive,loss,waste,loss,stupid,mistake,bad,waste,stupid,addiction,wrong,liar,stupid,disqualified,jail,money,lies,loss,exciting,sin,adultery,sex,wrong,jail,lie,bad,cheat,lie,fake,unfair,normal,common,jail,pirating,wrong,cheat,police,record,free,channels,shop,cheap,fun,exciting,risky,death,party,clubbing,exciting,regrets,pregnant,STI,dangerous,bad,mistake,dangerous,unlikely,police,fall,crack,danger,break,cancer,tan,burn,hospital,dangerous,rape,murder,men,fat,heart,death,yum,bears,danger,animals,forest,thrilling,dangerous,magnificient,unlikely,cheap,risky,travel,adventure,dangerous,rocky,fall,injured,exciting,thrill,fun,friends,fun,adventure,fitness,social,exciting,thrilling,challenge,new,harrison,crash,skill,golf,arguments,debates,discussions,opinions,aggressive,scary,risky,anger,angry,annoying,discussion,negative,scary,difficult,caution,benefits,upset,scared,bad,horrible,fun,personal,choice,fear,silly,money,fun,loss,scary,difficult,waste,boring
P19,invest,help,growth,money,wise,invest,growth,money,labour,little,saving,help,risky,fraud,not trustworthy,change,risky,debt,gambling,addiction,win,loss,casino,money,risky,support,trust,win,risky,stupid,senseless,idiotic,rude,cheat,unfair,unjjust,unfair,prison,illegal,unjust,rude,cheat,lyer,breakdown,fraud,money,illegal,rude,cheat,fraud,unintelligent,weak,cheat,computer,game,dvd,illegal,cheap,stupid,unfair,cheat,fraud,stingy,lie,death,injury,hostpital,scared,drunk,hangover,expensive,wreckless,risky,sti,baby,wreckless,death,crash,hosptial,wreckless,death,accident,brain damage,sad,cancer,burn,moles,red,rape,abuse,murder,drugs,fat,obese,wreckless,doctor,bear,tree,helpless,no signal,stupid,twister,adrenaline,junky,kidnapp,scared,homeless,theft,death,injury,broken,illegal,water,sun,float,jacket,adrenaline,hit,adventurous,courageous,adrenaline,scared,anxious,fear,death,worry,crash,burn,food,anger,arguemtent,weird,arguement,split,tears,unfair,scary,anxious,stupid,fear,risky,greedy,friendship,bonus,risky,truth,breakdown,lie,club,men,drink,leg,happyness,satisfaction,good ,life,not winning,anxious,fear,laughter
P20,Money,Profit,Loss,Growth,Money,Profit,Loss,Gain,Money,Profit,Loss,Growth,Money,Profit,Loss,Politics,Luck,Choice,Money,Jockey,Money,Gamble,Chips,Chance,Luck,Money,Gamble,Chance,Money,Job,Luck,Skill,Answers,Dishonest,Caught,Student,Money,Dishonest,Greed,Law,Dishonest,Deceit,Unfaithful,Gross,Money,Check,Document,Copy,Cheat,Forge,Copy,Plagarism,Technology,Virus,Hardware,Hack,Sneaky,Easy,Theft,Jail,Money,Theft,Illegal,Watch,High,Control,Awareness,Fun,Drunk,Hangover,Fun,Pub,Lust,Pregnant,Pleasure,Disease,Unsafe,Accident,Crash,Driver,Dangerous,Protection,Crash,Foolish,Heat,Tan,Burn,Stupid,Dark,Late,Danger,Strangers,Fat,Greed,Unhealthy,Quick,Tent,Wood,Trees,Dark,Weather,Wind,Drive,Destruction,Poor,Rush,Shelter,Flying,Dangerous,Thrill,Slope,Adrenaline,Quick,Fun,Treacherous,Wet,Treacherous,Adrenaline,Scary,Fun,Height,Speed,Leap,Fall,Flying,Landing,Wind,Sky,Unique,Alone,Exclude,Hard,Family,Disapproval,Annoying,Fight,Uncomfortable,Honest,Debate,Annoying,Money,Authority,Job,Promotion,Honesty,Trust,Loyal,Unfaithful,Short,Skimpy,Attract,Attention,Money,Status,Role,Ambition,Isolated,Truth,Brave,Honest
